CÓDIGO,NOME,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),LATITUDE (ºN),LONGITUDE (ºW),ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
20O/04,CAIA POSTO FISCAL,GUADIANA,167,295232,213407,38.882774,-7.035181,ARH-ALENTEJO,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,RIO CAIA,-,-,08-07-2009,-,DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA,
01I/01,CAINHEIRAS,LIMA,968,-,-,42.02953,-8.14294,ARH-NORTE,VIANA DO CASTELO,MELGAÇO,UNIÃO DAS FREGUESIAS DE CASTRO LABOREIRO E LAMAS DE MOURO,,-,-,-,-,DQA,-,
20D/02F,CAIS CABO (VILA FRANCA XIRA) (F),TEJO,4,-,-,38.9524,-8.97716,ARH-TEJO,-,-,-,RIO TEJO,-,-,01-01-2019,-,DQA,ATIVA,
20D/02S,CAIS CABO (VILA FRANCA XIRA) (S),TEJO,4,126726,221039,38.9524,-8.97716,ARH-TEJO,LISBOA,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,RIO TEJO,-,-,15-10-1985,-,DQA,REATIVADA,
15M/07,CAIS DOS LENTISCAIS,,116,-,-,39.736114,-7.494845,ARH-TEJO,-,-,-,,-,-,-,-,-,-,
16L/12,CAIS MONTE FIDALGO,,112,-,-,39.667432,-7.536853,ARH-TEJO,-,-,-,,-,-,-,-,-,-,
19D/07,CAIS PALÁCIO,TEJO,0,135932,230093,39.036435,-8.872619,CCDR-LVT,LISBOA,AZAMBUJA,AZAMBUJA,RIO MAIOR,914.42,70.96,25-08-1998,-,IMPACTO,ATIVA,
19D/06,CAIS PONTE AZAMBUJA,TEJO,0,137540,232597,39.05891,-8.85471,CCDR-LVT,LISBOA,AZAMBUJA,AZAMBUJA,RIO MAIOR,907.51,74.15,15-10-1985,20-09-1995,IMPACTO,EXTINTA,
21C/05,CAIS SACAVÉM,TEJO,3,115730,203793,38.79767,-9.10312,CCDR-LVT,LISBOA,LOURES,BOBADELA,RIO TRANCÃO,286.69,39.44,28-09-1999,11-12-2008,IMPACTO,EXTINTA,
19D/08,CAIS SALGUEIRO,TEJO,0,136426,230591,39.04076,-8.8674,CCDR-LVT,LISBOA,AZAMBUJA,AZAMBUJA,RIO MAIOR,913.86,71.64,25-08-1998,20-09-2000,IMPACTO,EXTINTA,
16K/03,CAIS VILA VELHA DE RÓDÃO,TEJO,77,239577.2,298070.68,39.6499671,-7.6719914,ARH-TEJO,CASTELO BRANCO,VILA VELHA DE RÓDÃO,VILA VELHA DE RÓDÃO,RIO TEJO,-,-,08-04-2012,-,IMPACTO,ATIVA,
02Q/04,CALABOR,DOURO,732,-,-,41.934674,-6.714776,ARH-NORTE,BRAGANÇA,BRAGANÇA,FRANÇA,,-,-,-,-,-,-,
08G/05,CALDAS DE S. JORGE,DOURO,151,-,-,40.967283,-8.49976,ARH-NORTE,AVEIRO,SANTA MARIA DA FEIRA,UNIÃO DAS FREGUESIAS DE CALDAS DE SÃO JORGE E PIGEIROS,,-,-,-,-,-,-,
10J/02,CALDAS DE SANGEMIL,MONDEGO,164,-,-,40.51978,-7.9733,ARH-CENTRO,VISEU,TONDELA,LAJEOSA DO DÃO,,-,-,-,-,-,-,
05H/01,CALDAS VIZELA,AVE,138,185386,489405,41.373253,-8.308029,CCDR-NORTE,BRAGA,VIZELA,CALDAS DE VIZELA (SÃO JOÃO),RIO VIZELA,254.06,50.41,16-10-1989,12-01-2000,IMPACTO,EXTINTA,
25M/03C,CALIÇOS - CCHA (C),GUADIANA,186,-,-,38.098566,-7.487269,EDIA,BEJA,MOURA,UNIÃO DAS FREGUESIAS DE MOURA (SANTO AGOSTINHO E SÃO JOÃO BAPTISTA) E SANTO AMADOR,,-,-,-,-,EDIA,-,
25M/03P,CALIÇOS - CCHA (P),GUADIANA,186,-,-,38.098566,-7.487269,EDIA,-,-,-,,-,-,-,-,EDIA,-,
25M/03S,CALIÇOS - CCHA (S),GUADIANA,186,-,-,38.098566,-7.487269,EDIA,BEJA,MOURA,UNIÃO DAS FREGUESIAS DE MOURA (SANTO AGOSTINHO E SÃO JOÃO BAPTISTA) E SANTO AMADOR,,-,-,-,-,EDIA,-,
25L/14,CALIÇOS - JUSANTE - CCHA,GUADIANA,164,-,-,38.108384,-7.5166002,EDIA,BEJA,MOURA,UNIÃO DAS FREGUESIAS DE MOURA (SANTO AGOSTINHO E SÃO JOÃO BAPTISTA) E SANTO AMADOR,,-,-,-,-,EDIA,-,
25M/01,CALIÇOS MACHADOS - CALMAC1 - CCHA,GUADIANA,202,-,-,38.079167,-7.409167,EDIA,BEJA,MOURA,UNIÃO DAS FREGUESIAS DE MOURA (SANTO AGOSTINHO E SÃO JOÃO BAPTISTA) E SANTO AMADOR,,-,-,-,-,-,-,
25L/01,CALIÇOS MOURA (MOURA GRAVÍTICO) - CALMOU1 - CCHA,GUADIANA,151,-,-,38.118333,-7.533611,EDIA,BEJA,SERPA,PIAS,,-,-,-,-,-,-,
03N/50,CALVO (SANTA VALHA),DOURO,464,270367,523232,41.678699,-7.288547,UTAD,VILA REAL,VALPAÇOS,SANTA VALHA,,-,-,04-05-2010,-,DQA_ECOL_VIG,ATIVA,
09I/11,CALVÁRIO,VOUGA/RIBEIRAS COSTEIRAS,260,-,-,40.734472,-8.153388,ARH-CENTRO,-,-,-,,-,-,-,-,-,-,
13J/51,CAMBAS,TEJO,317,225383,337167,40.002985,-7.83323,ARH-TEJO,CASTELO BRANCO,OLEIROS,CAMBAS,RIBEIRA DAS CASAS DA ZIBREIRA,-,-,14-09-2009,-,DQA_ECOL_VIG,ATIVA,
15N/52,CAMPINHO,TEJO,181,281507,313244,39.7809,-7.186023,ARH-TEJO,CASTELO BRANCO,IDANHA-A-NOVA,ROSMANINHAL,RIBEIRA DE ARAVIL,-,-,16-09-2009,-,DQA_ECOL_VIG,ATIVA,
24O/04,CAMPO DO GAMO,,151,-,-,38.170242,-7.073576,ARH-ALENTEJO,-,-,-,,-,-,-,-,-,-,
20I/01,CAMÕES,TEJO,81,-,-,38.996806,-8.007637,ARH-TEJO,PORTALEGRE,AVIS,UNIÃO DAS FREGUESIAS DE ALCÓRREGO E MARANHÃO,,-,-,-,-,-,-,
14D/53,CANADAS / MTE. REDONDO,LIS/RIBEIRAS COSTEIRAS,23,-61425.1,27506.03,39.9137666,-8.8515173,ARH-CENTRO,LEIRIA,LEIRIA,MONTE REDONDO,,-,-,25-02-2013,-,DQA_ECOL_VIG,ATIVA,
03F/01,CANADELO,LIMA,25,-,-,41.80221,-8.63934,ARH-NORTE,VIANA DO CASTELO,PONTE DE LIMA,CABRAÇÃO E MOREIRA DO LIMA,,-,-,-,-,-,-,
30F/51,CANAFECHAL,RIBEIRAS DO ALGARVE,15,154266,23471,37.17602,-8.64806,ARH-ALGARVE,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRO DO ARAO,-,-,13-04-2009,-,DQA_ECOL_OPER,ATIVA,
13E/11,CANAL ADUTOR MONDEGO/VILA VERDE,MONDEGO,2,-,-,40.117604,-8.790838,ÁGUAS DA FIGUEIRA,-,-,-,,-,-,-,-,CAPTAÇÃO,-,
30G/14,CANAL ARADE,RIBEIRAS DO ALGARVE,38,-,-,37.21536,-8.395998,ARH-ALGARVE,-,-,-,RIO ARADE,-,-,27-11-2019,-,DQA_ECOL_VIG,ATIVA,
31F/10,CANAL DAS FONTAINHAS,RIBEIRAS DO ALGARVE,8,-,-,37.153926,-8.62374,ARH-ALGARVE,-,-,-,,-,-,25-02-2019,-,DQA_ECOL_VIG,ATIVA,
19H/02,CANAL MONTARGIL,TEJO,63,-,-,39.05245,-8.178642,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DO VALE DO SORRAIA,PORTALEGRE,PONTE DE SOR,MONTARGIL,RIO SÔR,-,-,01-01-2013,-,REGA,ATIVA,
29E/03,CANAL REGA MIRA,RIBEIRAS DO ALGARVE,89,-,-,37.427146,-8.778677,ARH-ALGARVE,-,-,-,,-,-,27-02-2019,-,DQA_ECOL_VIG,ATIVA,
15E/50,CANCELA DA AZEITEIRA,LIS/RIBEIRAS COSTEIRAS,59,-54045.36,9938.16,39.7560546,-8.7637627,ARH-CENTRO,LEIRIA,LEIRIA,POUSOS,,-,-,26-02-2013,-,DQA_ECOL_VIG,ATIVA,
05M/07,CANDEDO,DOURO,250,-,-,41.36593,-7.39139,ARH-NORTE,VILA REAL,MURÇA,CANDEDO,,-,-,-,-,-,-,
28F/50,CANEJA BAIXO,MIRA,7,156614,67107,37.56928,-8.62419,ARH-ALENTEJO,BEJA,ODEMIRA,BOAVISTA DOS PINHEIROS,RIBEIRA DA MACHEIRA,-,-,14-04-2009,-,DQA_ECOL_OPER,ATIVA,
21B/07,CANEÇAS,TEJO,183,106792,205590,38.812945,-9.206337,CCDR-LVT,LISBOA,ODIVELAS,CANEÇAS,RIBEIRA DE ODIVELAS,4.31,58.17,19-05-1993,09-08-2000,IMPACTO,EXTINTA,
12M/50,CANHOSO,TEJO,454,256541,369637,40.29351,-7.46814,ARH-TEJO,CASTELO BRANCO,COVILHÃ,CANHOSO,RIBEIRA DO CORGES,-,-,08-09-2009,-,DQA_ECOL_VIG,ATIVA,
15M/05,CANINHAS,TEJO,193,-,-,39.675521,-7.34082,ARH-TEJO,CASTELO BRANCO,CASTELO BRANCO,MALPICA DO TEJO,,-,-,-,-,-,-,
05G/02,CANIÇOS,AVE,54,174765,488275,41.36333,-8.43471,CCDR-NORTE,PORTO,SANTO TIRSO,REBORDÕES,RIO AVE,815.78,36.92,26-10-1988,12-01-2000,Fluxo,EXTINTA,
04I/01,CANTELÃES,AVE,394,200447,519017,41.64053,-8.12775,CCDR-NORTE,BRAGA,VIEIRA DO MINHO,CANTELÃES,RIBEIRA DE CANTELAES,15.8,90.99,01-01-1993,-,CAPTAÇÃO / EXTRACÇÃO,REATIVADA,
21G/50,CANTINA,TEJO,79,-20311.79,-99786.94,38.769119,-8.366095,ARH-TEJO,-,-,-,RIBEIRA DE LAVRE,-,-,11-02-2011,-,DQA_ECOL_OPER,ATIVA,
09N/50,CANTO DO LOBO,DOURO,410,279087,430275,40.8377,-7.1954,UTAD,GUARDA,MÊDA,CORISCADA,RIBEIRA DOS COTIMOS,-,-,29-04-2010,-,DQA_ECOL_OPER,ATIVA,
21A/03,CAPA ROTA,RIBEIRAS DO OESTE,0,-,-,38.45,-9.21,DGA,-,-,-,RIBEIRA DE CAPARIDE,-,-,11-11-1985,21-02-1990,DGA,EXTINTA,
11H/01,CAPAROSA,MONDEGO,93,-,-,40.367874,-8.246657,ARH-CENTRO,VISEU,MORTÁGUA,MARMELEIRA,,-,-,-,-,-,-,
13L/55,CAPEDE,TEJO,327,252612,328062,39.921288,-7.516977,ARH-TEJO,-,-,-,,-,-,22-02-2011,-,DQA_ECOL_OPER,ATIVA,
08G/03,CAPTAÇÃO BURGÃES - CAPT. 31,VOUGA/RIBEIRAS COSTEIRAS,209,178910,429549,40.83466,-8.38315,ARH-CENTRO,AVEIRO,VALE DE CAMBRA,SÃO PEDRO DE CASTELÕES,RIO CAIMA,56.31,75.16,15-01-1997,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / NITRATOS / DQA_QUIM_VIG,ATIVA,
08L/04,CAPTAÇÃO RIBEIRA,DOURO,663,242428,446471,40.98622,-7.62895,CCDR-NORTE,VISEU,MOIMENTA DA BEIRA,LEOMIL,RIBEIRA DE NOZEDO,8.03,141.41,31-01-1994,27-01-2000,CAPTAÇÃO / EXTRACÇÃO,EXTINTA,
08G/02,CAPTAÇÃO RIO ÍNSUA,VOUGA/RIBEIRAS COSTEIRAS,133,172023,429948,40.83805,-8.46482,ARH-CENTRO,AVEIRO,OLIVEIRA DE AZEMÉIS,OLIVEIRA DE AZEMÉIS,RIO INSUA OU UI,32.36,42.67,15-01-1997,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / DQA_QUIM_VIG,ATIVA,
30K/51,CARCAVAIA,RIBEIRAS DO ALGARVE,78,37209.67,-274497.22,37.194958,-7.716169,ARH-ALGARVE,FARO,TAVIRA,TAVIRA (SANTA MARIA),RIBEIRA DE ALPORTEL,-,-,15-04-2009,-,DQA_ECOL_VIG,ATIVA,
03E/09,CARDIELOS,LIMA,3,-,-,41.707695,-8.732149,ARH-NORTE,VIANA DO CASTELO,VIANA DO CASTELO,UNIÃO DAS FREGUESIAS DE CARDIELOS E SERRELEIS,,-,-,-,-,-,-,
12M/51,CARIA,TEJO,433,264444,369037,40.287661,-7.375461,ARH-TEJO,CASTELO BRANCO,BELMONTE,CARIA,RIBEIRA DAS INGUIAS OU DE CARIA,-,-,09-09-2009,-,DQA_ECOL_VIG,ATIVA,
02O/04,CAROCEIRAS,DOURO,549,-,-,41.84886,-7.08848,ARH-NORTE,BRAGANÇA,VINHAIS,UNIÃO DAS FREGUESIAS DE SOBREIRO DE BAIXO E ALVAREDOS,,-,-,-,-,-,-,
02Q/03,CARRAGOSA,DOURO,767,-,-,41.9084,-6.7756,ARH-NORTE,BRAGANÇA,BRAGANÇA,CARRAGOSA,,-,-,-,-,-,-,
30D/50,CARRAPATEIRA,RIBEIRAS DO ALGARVE,25,132950,24676,37.16823,-8.850969,ARH-ALGARVE,FARO,ALJEZUR,BORDEIRA,RIBEIRA DA CARRAPATEIRA OU DO PARAISO OU DO BARRANCO DA CATARINA DIAS OU DO BARRANCO DO CORTE PERA JAQUES,-,-,13-04-2009,-,DQA_ECOL_VIG,ATIVA,
20H/06,CARREGAIS DE BAIXO,TEJO,67,-,-,38.868659,-8.326204,ARH-TEJO,SANTARÉM,CORUCHE,SANTANA DO MATO,,-,-,-,-,-,-,
16I/51,CARREGUEIRA,TEJO,192,209689,287070,39.55175,-8.02038,ARH-TEJO,SANTARÉM,MAÇÃO,PENHASCOSO,RIBEIRA DA CARREGUEIRA OU DAS BOAS EIRAS,-,-,16-09-2009,-,DQA_ECOL_VIG,ATIVA,
14D/52,CARREIRA,LIS/RIBEIRAS COSTEIRAS,9,-61759.16,22590.1,39.8694711,-8.8549595,ARH-CENTRO,LEIRIA,LEIRIA,CARREIRA,RIBEIRA DA CARREIRA,-,-,25-02-2013,-,DQA_ECOL_OPER,ATIVA,
12D/03,CARREIRA DE TIRO,,43,-,-,40.233866,-8.848421,ARH-CENTRO,COIMBRA,FIGUEIRA DA FOZ,QUIAIOS,,-,-,-,-,-,-,
12L/04,CARVALHAIS,TEJO,385,-,-,40.177547,-7.591472,ARH-TEJO,CASTELO BRANCO,COVILHÃ,UNIÃO DAS FREGUESIAS DE BARCO E COUTADA,,-,-,-,-,-,-,
01H/05,CARVALHIÇAS,MINHO,96,-,-,42.11554,-8.26842,ARH-NORTE,VIANA DO CASTELO,MELGAÇO,UNIÃO DAS FREGUESIAS DE VILA E ROUSSAS,,-,-,-,-,-,-,
29G/54,CARVALHO,RIBEIRAS DO ALGARVE,115,172729,43321,37.355582,-8.440918,ARH-ALGARVE,FARO,MONCHIQUE,ALFERCE,RIBEIRO DO CARVALHO,-,-,01-01-2016,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA,
09G/03,CARVOEIRO,VOUGA/RIBEIRAS COSTEIRAS,16,174484,412490,40.68092,-8.43493,ARH-CENTRO,AVEIRO,ÁGUEDA,MACINHATA DO VOUGA,RIO VOUGA,1052.31,45.61,12-04-1989,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / NITRATOS / DQA_QUIM_VIG,ATIVA,
17I/04,CASA BRANCA,TEJO,44,-,-,39.465915,-8.00687,ARH-TEJO,SANTARÉM,ABRANTES,UNIÃO DAS FREGUESIAS DE ALVEGA E CONCAVADA,,-,-,-,-,-,-,
03G/04,CASA DE RIBA DÃO,LIMA,40,-,-,41.79883,-8.48422,ARH-NORTE,VIANA DO CASTELO,ARCOS DE VALDEVEZ,UNIÃO DAS FREGUESIAS DE JOLDA (MADALENA) E RIO CABRÃO,,-,-,-,-,-,-,
01H/03,CASAIS,MINHO,45,194266,575259,42.152847,-8.200708,ARH-NORTE,VIANA DO CASTELO,MELGAÇO,CRISTOVAL,RIO MINHO,15163.62,78.48,21-01-2003,-,FLUXO-TFRONT-LE(PISC-SALM; CAPTAÇÃO) / DQA_QUIM_VIG / CADC,ATIVA,
12G/03,CASAIS 2,,16,-,-,40.204361,-8.489729,ARH-CENTRO,COIMBRA,COIMBRA,UNIÃO DAS FREGUESIAS DE SÃO MARTINHO DO BISPO E RIBEIRA DE FRADES,,-,-,-,-,-,-,
16G/52,CASAL ABOBOEIRAS,TEJO,111,181190,296516,39.63357,-8.353971,ARH-TEJO,SANTARÉM,TOMAR,OLALHAS,RIO NABÃO,-,-,18-01-2010,-,DQA_ECOL_VIG,ATIVA,
20C/51,CASAL ANTAS,TEJO,34,122629,224623,38.987646,-9.023393,ARH-TEJO,LISBOA,ARRUDA DOS VINHOS,ARRUDA DOS VINHOS,RIO GRANDE DA PIPA,-,-,06-10-2009,-,DQA_ECOL_VIG,ATIVA,
19E/01,CASAL ARCHELA,TEJO,6,150325,240820,39.131948,-8.707152,DGA,SANTARÉM,ALMEIRIM,BENFICA DO RIBATEJO,VALA DE ALPIARÇA OU DO PAÚL OU RIBEIRA DE ULME,-,-,15-10-1985,01-01-3000,DGA,REATIVADA,
16C/03,CASAL DA MOTA,RIBEIRAS DO OESTE,7,-,-,39.56597,-9.06832,ARH-TEJO,LEIRIA,NAZARÉ,FAMALICÃO,,-,-,-,-,-,-,
17A/01,CASAL DA PONTE,RIBEIRAS DO OESTE,2,-,-,39.35118,-9.360547,ARH-TEJO,LEIRIA,PENICHE,ATOUGUIA DA BALEIA,,-,-,-,-,-,-,
17I/03,CASAL DAS MANSAS,TEJO,50,-,-,39.488581,-8.128304,ARH-TEJO,SANTARÉM,ABRANTES,UNIÃO DAS FREGUESIAS DE ABRANTES (SÃO VICENTE E SÃO JOÃO) E ALFERRAREDE,,-,-,-,-,-,-,
14D/51,CASAL DAS RAPOSAS,LIS/RIBEIRAS COSTEIRAS,19,-69660.03,23311.1,39.8753527,-8.9473746,ARH-CENTRO,LEIRIA,MARINHA GRANDE,VIEIRA DE LEIRIA,RIBEIRO DA TABUA,-,-,25-02-2013,-,DQA_ECOL_OPER,ATIVA,
16D/04,CASAL DO CRUTO,RIBEIRAS DO OESTE,19,-,-,39.60238,-8.97455,ARH-TEJO,LEIRIA,ALCOBAÇA,UNIÃO DAS FREGUESIAS DE COZ  ALPEDRIZ E MONTES,,-,-,-,-,-,-,
13O/50,CASAL DO FREIXIAL,TEJO,375,90417.77,51833.36,40.1302287575,-7.07226838331,ARH-TEJO,-,-,-,RIO BESAGUEDA,-,-,01-03-2011,-,DQA_ECOL_OPER,ATIVA,
17G/08,CASAL DO GRILO,TEJO,40,-,-,39.483828,-8.466098,ARH-TEJO,SANTARÉM,ENTRONCAMENTO,NOSSA SENHORA DE FÁTIMA,,-,-,-,-,-,-,
15H/05,CASAL DO MOINHO,TEJO,145,-,-,39.810398,-8.252651,ARH-TEJO,CASTELO BRANCO,SERTÃ,UNIÃO DAS FREGUESIAS DE CERNACHE DO BONJARDIM  NESPERAL E PALHAIS,,-,-,-,-,-,-,
17H/06,CASALINHO,TEJO,106,-,-,39.392159,-8.245469,ARH-TEJO,SANTARÉM,CONSTÂNCIA,SANTA MARGARIDA DA COUTADA,,-,-,-,-,-,-,
17H/01,CASARÕES,TEJO,32,-,-,39.480846,-8.268936,ARH-TEJO,SANTARÉM,ABRANTES,RIO DE MOINHOS,,-,-,-,-,-,-,
18L/52,CASAS NOVAS,TEJO,260,53509.78,-47741.7,39.2365975429,-7.51333391452,ARH-TEJO,-,-,-,RIBEIRA DA RAIA OU DE SEDA,-,-,17-02-2011,-,DQA_ECOL_OPER,ATIVA,
03I/01,CASCATA PORTELA DO HOMEM,CÁVADO/RIBEIRAS COSTEIRAS,729,-,-,41.803281,-8.128894,ARH-NORTE,BRAGA,TERRAS DE BOURO,CAMPO DO GERÊS,,-,-,-,-,-,-,
26H/50,CASETA - ERV6 - CCHA,SADO,71,193443,107298,37.93238,-8.20768,ARH-ALENTEJO/EDIA/ALMINA,BEJA,ALJUSTREL,RIO DE MOINHOS,RIBEIRA DO ROXO OU DE SANTA VITÓRIA,-,-,02-04-2009,-,DQA_ECOL_OPER,ATIVA,
06M/01,CASTANHEIRO,DOURO,91,259224,471947,41.21456,-7.42692,CCDR-NORTE,BRAGANÇA,CARRAZEDA DE ANSIÃES,CASTANHEIRO,RIO TUA,3818.44,142.04,22-05-1990,26-01-2000,IMPACTO,EXTINTA,
13N/02,CASTANHEIROS,TEJO,333,-,-,40.062507,-7.303421,ARH-TEJO,CASTELO BRANCO,IDANHA-A-NOVA,ALDEIA DE SANTA MARGARIDA,,-,-,-,-,-,-,
15G/04,CASTELEJO,TEJO,88,-,-,39.71767,-8.46504,ARH-TEJO,SANTARÉM,OURÉM,UNIÃO DAS FREGUESIAS DE RIO DE COUROS E CASAL DOS BERNARDOS,,-,-,-,-,-,-,
10H/02,CASTELO,VOUGA/RIBEIRAS COSTEIRAS,429,-,-,40.560732,-8.250637,ARH-CENTRO,VISEU,TONDELA,UNIÃO DAS FREGUESIAS DE SÃO JOÃO DO MONTE E MOSTEIRINHO,,-,-,-,-,-,-,
07H/05,CASTELO (ALB. CRESTUMA),DOURO,18,188740,455075,41.064612,-8.264345,ARH-NORTE,PORTO,MARCO DE CANAVESES,VÁRZEA DO DOURO,RIO PAIVA,93241.47,52.42,15-12-1993,-,CAPTAÇÃO-75-440 / PISC-CIP-78-659,ATIVA,
10P/03,CASTELO MENDO,DOURO,632,-,-,40.58547,-6.95149,ARH-NORTE,GUARDA,ALMEIDA,UNIÃO DAS FREGUESIAS DE CASTELO MENDO  ADE  MONTEPEROBOLSO E MESQUITELA,,-,-,-,-,-,-,
15I/02,CASTELO VELHO,TEJO,214,-,-,39.793,-8.12474,ARH-TEJO,-,-,-,,-,-,-,-,-,-,
11I/02,CASTINCEIRA,MONDEGO,144,-,-,40.456868,-8.165996,ARH-CENTRO,VISEU,TONDELA,UNIÃO DAS FREGUESIAS DE BARREIRO DE BESTEIROS E TOURIGO,,-,-,-,-,-,-,
28H/01,CASTRO COLA,MIRA,136,185824,67581,37.57447,-8.29356,ARH-ALENTEJO,BEJA,OURIQUE,OURIQUE,RIO MIRA,222.96,96.12,13-11-2001,-,PISC-CIP-78-659,ATIVA,
08J/50,CASTRO D'AIRE,DOURO,563,219073,437289,40.9044,-7.9068,UTAD,VISEU,CASTRO DAIRE,CASTRO DAIRE,,-,-,19-05-2010,-,DQA_ECOL_VIG,ATIVA,
08J/01,CASTRO D'AIRE (PRAIA FLUVIAL),DOURO,469,219060,435398,40.88764,-7.90942,ARH-NORTE,VISEU,CASTRO DAIRE,MÕES,RIO PAIVA,284.79,116.94,13-01-1994,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / DQA_QUIM_VIG,ATIVA,
04T/50,CASTRO DE ALCAÑICES,DOURO,719,359415,515657,41.594178,-6.22078,UTAD,BRAGANÇA,MIRANDA DO DOURO,PARADELA,,-,-,31-05-2010,-,DQA_ECOL_OPER,ATIVA,
30L/50,CASTRO MARIM,GUADIANA,28,254797,28898,37.224428,-7.515674,ARH-ALGARVE,FARO,CASTRO MARIM,CASTRO MARIM,RIBEIRA DO RIO SECO,-,-,01-01-2016,-,DQA_ECOL_VIG,ATIVA,
22I/03,CASÃO,TEJO,236,-,-,38.646,-8.124,ARH-TEJO,ÉVORA,MONTEMOR-O-NOVO,UNIÃO DAS FREGUESIAS DE NOSSA SENHORA DA VILA  NOSSA SENHORA DO BISPO E SILVEIRAS,,-,-,-,-,-,-,
10K/06,CATIVELOS,MONDEGO,254,-,-,40.543547,-7.695938,ARH-CENTRO,GUARDA,GOUVEIA,CATIVELOS,,-,-,-,-,-,-,
02E/02,CAVADA,MINHO,7,145850,546837,41.887407,-8.789412,AdN,VIANA DO CASTELO,CAMINHA,VILAR DE MOUROS,RIO COURA,233.11,10.29,11-10-1993,-,CAPTAÇÃO-75-440 / PISC-SALM-78-659 / LE(PISC-SALM; CAPTAÇÃO) / NITRATOS / DQA_QUIM_VIG / CADC,ATIVA,
13J/04,CAVALEIROS DE BAIXO,MONDEGO,395,-,-,40.153419,-7.947073,ARH-CENTRO,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO-VIDUAL,,-,-,-,-,-,-,
20K/51,CEGARREGA,TEJO,200,40083.88,-75912.59,38.9835779,-7.670495,ARH-TEJO,PORTALEGRE,SOUSEL,SOUSEL,RIBEIRA DE SOUSEL,-,-,07-07-2014,-,DQA_ECOL_VIG,ATIVA,
15N/51,CEGONHAS,TEJO,188,281200,307731,39.73411,-7.183057,ARH-TEJO,CASTELO BRANCO,IDANHA-A-NOVA,ROSMANINHAL,RIBEIRA DO FREIXO,-,-,14-01-2010,-,DQA_ECOL_VIG,ATIVA,
13H/06,CEIRA VALES,MONDEGO,79,189783,353472,40.14946,-8.252426,ARH-CENTRO,COIMBRA,LOUSÃ,CASAL DE ERMIO,RIO CEIRA,356.56,75.15,17-01-2001,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / DQA_QUIM_VIG,ATIVA,
10M/01,CELORICO-GARE,MONDEGO,398,-,-,40.6634,-7.3863,ARH-CENTRO,GUARDA,CELORICO DA BEIRA,FORNO TELHEIRO,,-,-,-,-,-,-,
16K/04,CENTRAL ELÉTRICA DE VELADA,TEJO,101,-,-,39.59194,-7.709798,ARH-TEJO,PORTALEGRE,NISA,SÃO MATIAS,,-,-,-,-,-,-,
06H/05,CEPEDA,DOURO,138,-,-,41.20862,-8.32528,ARH-NORTE,PORTO,PAREDES,PAREDES,,-,-,-,-,-,-,
15K/03,CERCA DO CASTELO,TEJO,151,-,-,39.674,-7.797,ARH-TEJO,CASTELO BRANCO,PROENÇA-A-NOVA,UNIÃO DAS FREGUESIAS DE PROENÇA-A-NOVA E PERAL,,-,-,-,-,-,-,
30E/01,CERCA POMARES,RIBEIRAS DO ALGARVE,57,145351,40265,37.32684,-8.74968,CCDR-ALGARVE,FARO,ALJEZUR,ALJEZUR,RIBEIRA DE ALJEZUR OU DA CERCA OU DE CHILRÃO,37.54,14.69,18-10-1994,07-10-1997,IMPACTO,EXTINTA,
02M/50,CERDEIRA,DOURO,366,256441,542505,41.85,-7.4535,UTAD,VILA REAL,CHAVES,VILARELHO DA RAIA,RIBEIRA DE CAMBEDO,-,-,03-05-2010,-,DQA_ECOL_OPER,ATIVA,
13H/08,CERDEIRA/GEVIM - CAPT. 28,MONDEGO,659,-5739.2,46561.88,40.087601,-8.200392,ARH-CENTRO,COIMBRA,LOUSÃ,LOUSÃ,RIO AROUCE OU RIBEIRA DE SÃO JOÃO OU DA SARDEIRA,-,-,12-05-2014,-,CAPTAÇÃO,ATIVA,
06P/01,CEREJAIS,DOURO,305,-,-,41.299601,-6.945705,ARH-NORTE,BRAGANÇA,ALFÂNDEGA DA FÉ,UNIÃO DAS FREGUESIAS DE EUCISIA  GOUVEIA E VALVERDE,,-,-,-,-,-,-,
12I/08,CEREJAL,MONDEGO,170,-,-,40.179127,-8.155993,ARH-CENTRO,COIMBRA,GÓIS,VILA NOVA DO CEIRA,,-,-,-,-,-,-,
09N/51,CEREJO,DOURO,531,276632,418613,40.7329,-7.226,UTAD,GUARDA,PINHEL,CEREJO,RIBEIRA DE MASSUEIME,-,-,28-04-2010,-,DQA_ECOL_OPER,ATIVA,
