CÓDIGO,NOME,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),LATITUDE (ºN),LONGITUDE (ºW),ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
24E/51,AFLUENTE DA VALA REAL I,SADO,5,144091,150449,38.32236,-8.7626,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,COMPORTA,BARRANCO DA CARREGUEIRA,-,-,01-02-2015,-,DQA_ECOL_OPER,ATIVA,
24F/52,AFLUENTE DA VALA REAL III,,57,155029,146046,38.28036,-8.64706,ARH-ALENTEJO,SETÚBAL,GRÂNDOLA,GRÂNDOLA,RIBEIRA DO BREJO DO MOURO,-,-,01-02-2015,-,DQA_ECOL_VIG,ATIVA,
23F/53,AFLUENTE DO RIBEIRO DE ÁGUA COVA,SADO,3,163556.22,155527.72,38.36459444,-8.548883333,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),,-,-,01-01-2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA,
23K/56,AFLUENTE DO RIO DEGEBE,GUADIANA,188,240075,154806,38.35466,-7.67719,ARH-ALENTEJO,ÉVORA,PORTEL,MONTE DO TRIGO,RIBEIRA DA HORTA VELHA,-,-,01-02-2015,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA,
23E/50,AFLUENTE DO RIO SADO I,SADO,1,148847,169247,38.48411,-8.71898,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),RIO SADO,-,-,01-02-2015,-,DQA_ECOL_OPER,ATIVA,
23E/52,AFLUENTE DO RIO SADO III,SADO,12,145657,158701,38.39384,-8.75514,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,COMPORTA,BARRANCO DOS PINHEIROS BRAVOS,-,-,01-02-2015,-,DQA_ECOL_VIG,ATIVA,
23E/53,AFLUENTE DO RIO SADO IV,SADO,10,149387,159931,38.404852,-8.712815,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,COMPORTA,BARRANCO DA CARRASQUEIRA,-,-,01-02-2015,-,DQA_ECOL_VIG,ATIVA,
24H/55,AFLUENTE DO RIO SADO IX,SADO,17,183024.93,138498.15,38.21332,-8.32693,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,TORRÃO,BARRANCO DO BREJO LARGO,-,-,01-02-2015,-,DQA_ECOL_VIG,ATIVA,
23F/51,AFLUENTE DO RIO SADO V,SADO,18,156474.62,157454.94,38.38163889,-8.630025,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),,-,-,01-01-2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA,
23F/52,AFLUENTE DO RIO SADO VI,SADO,3,158533.75,159165.98,38.39715,-8.606561111,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),,-,-,01-01-2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA,
24G/54,AFLUENTE DO RIO SADO VII,SADO,17,173855.6,145425.29,38.27394722,-8.430669444,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,TORRÃO,,-,-,01-01-2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA,
24G/52,AFLUENTE DO RIO SADO VIII,SADO,14,178527.46,142807.97,38.25206,-8.37841,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,TORRÃO,,-,-,01-02-2015,-,DQA_ECOL_VIG,ATIVA,
